	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
Cox's theorem_0																																																																																																																																																																																																																																																																																																												
Cox's theorem_1																																																																																																																																																																																																																																																																																																												
Cox's theorem_2	-0.00016874891	0.00037834526	-0.000472528	-0.0009069404	0.00080600986	0.00049312634	-0.0013351084	0.00018727136	0.0006568792	0.00051148667	0.00020387866	0.00012476555	0.00071271136	9.546775e-05	-0.00031586672	0.00015935668	0.0006862589	-0.00043549924	0.00043449723	-0.0011525656	0.00074628415	0.0005950784	0.00058384927	-0.00054214976	-0.00040979477	0.0002746152	-0.00092184846	0.0003141451	-0.000615677	-0.0006785968	6.819141e-05	0.00079061	0.00027543033	0.00021185924	-0.00028619822	-4.308454e-05	0.00057207275	0.00017840005	-0.00016140152	-0.0006691732	0.00033108357	-0.00055877137	6.673872e-05	0.00022987423	5.0464485e-05	0.00021983753	0.00023206827	-0.00017964173	-0.00020007303	0.00032870157	-0.00015257744	2.634892e-05	-9.585233e-05	5.1036783e-05	-0.0008714786	-0.0008200314	-0.0008924694	0.00031453944	-0.00074163306	-0.00038417435	0.00045343736	0.00033600166	0.00013945308	0.0003665278	-0.00033637282	0.000923377	0.00018209005	0.00076418516	0.00079169584	-0.00065295724	-0.0001480492	-0.0008359221	0.0011081869	-0.00036306496	-1.5517973e-05	0.0008088392	0.00066866557	0.00046700265	5.6916324e-05	-0.00057532283	-0.00048154575	0.000304707	0.00041878378	-0.00013382907	0.00078873825	0.00015738353	0.0007939763	-0.00046491297	-0.00014333024	-0.0006238155	-0.0010410458	0.00025096012	9.1446826e-05	-0.00034617682	-0.0010686374	0.00042455067	0.0006944981	0.00023514364	-6.6004024e-05	0.0004781629	0.00019497305	0.0005829284	-0.00053435814	-0.00029791187	4.504557e-05	-0.0004987428	0.0009231359	-0.000402081	7.4844436e-05	0.00033844143	0.00018374142	-0.00043487444	0.00021811068	-0.00025304555	0.00056779373	-0.00012968684	0.00069126865	0.00018115132	0.00011216686	-0.00026255482	-0.000350504	0.00049750437	0.00035480835	0.00055398303	1.0713295e-05	0.0005617398	-0.000396517	0.0007494794	-6.941671e-06	-0.00023535732	-0.00015210616	-0.0001432824	0.00025650338	-0.00011702678	2.0291147e-05	0.0011458156	0.00019728011	0.00077601866	-2.7548038e-05	2.5478672e-05	-1.990181e-05	-0.00044878497	-0.0006856491	0.00019386766	-0.00018763113	0.00020728148	-0.00017378811	0.00010702161	-7.9959544e-05	-0.00017225905	-0.0005417175	8.01025e-05	-0.00039277298	0.00012759	-0.0005224504	0.0004193804	-0.00012376152	-0.0007535517	0.0004162999	-0.0006163625	0.0004909736	-0.00021305884	-0.0008244707	-0.00035521522	-0.0007503483	-4.148703e-05	-0.00066052715	0.00021192397	-0.00015755047	-0.00044926332	-0.00035816565	-0.00018583794	-0.00030498818	-0.0005212206	-0.00056723977	-0.00039872382	0.00064794463	-0.0009606671	-0.00096832647	-0.0006303597	-0.00064244587	0.0001433668	-0.0012018444	-0.00019024513	0.00034692715	-0.0001924438	0.000378621	-0.0003897874	-0.00022816262	-0.00030492793	0.0009636984	0.0005640219	0.0002037037	-0.00030084857	-0.00011042348	0.0004024053	0.0003266484	0.0002157772	-0.0003525896	9.412921e-05	-0.0006808679	-0.0006064634	6.276899e-05	0.0002202481	-0.00018454871	-0.00078440853	0.00016143803	-0.00052691065	-0.00069585704	-0.0001909138	8.8366214e-05	0.00038081862	0.00050396216	0.00033810447	0.00081778504	0.00072475243	-0.0001097878	-2.5116198e-05	-0.00013048945	-0.000381606	-0.00032361574	-0.00022903069	-4.608085e-05	-0.00030783121	0.00018995782	0.00080391177	-4.5256835e-05	-0.0005617138	0.00059315877	0.00061109243	3.4932993e-05	-0.00030292335	0.00048616983	-0.000741269	3.0263982e-06	-0.00042134878	0.00030178396	0.00028264397	-0.00053134526	0.00011355424	-0.00037637842	-0.00035258842	0.0005439632	0.00020627797	0.0004717003	0.00021057867	0.001274003	0.0007924314	2.3278582e-05	-0.00011216526	0.00030944028	-0.00034248046	0.00017819773	-8.848208e-05	0.0002892736	-0.00016040524	-0.00022866947	-0.00019876058	-0.0009884344	3.073427e-05	-1.6339443e-05	0.0010833084	-0.00034496543	-0.00013748977	0.0007145571	-0.00034247208	0.000659295	-0.00012338918	0.001054235	0.00045393332	-0.000155353	0.0005620079	-6.8064837e-06	-0.00041764072	0.00055169343	-0.0009836801	0.00022872491	-0.000990954	-0.00010520677	-0.0010803931	0.00013569059	-4.583024e-05	0.0005687802	4.0519837e-05	6.9380825e-05	0.00062342855	-0.0005937327	0.00015231696	-0.000349577	-0.0005570933	0.00012907267	0.00021143029	-0.0003055191	-0.00060735963	-0.0007832644	0.00033894923	-0.00012772536	0.0003576294	-0.00042933438	0.0007108166
Cox's theorem_3																																																																																																																																																																																																																																																																																																												
Cox's theorem_4																																																																																																																																																																																																																																																																																																												
Cox's theorem_5																																																																																																																																																																																																																																																																																																												
Cox's theorem_6																																																																																																																																																																																																																																																																																																												
Cox's theorem_7																																																																																																																																																																																																																																																																																																												
Cox's theorem_8																																																																																																																																																																																																																																																																																																												
Cox's theorem_9																																																																																																																																																																																																																																																																																																												
Cox's theorem_10	3.356248e-05	0.0002269558	-0.00087075355	-0.0008665905	0.0009961883	0.00047139497	-0.0013426952	0.00011896293	0.0004044842	0.0009643465	-8.857198e-05	-0.0002767307	0.00064615783	0.00063614285	-0.00018038502	0.0001950587	0.00090440054	-0.00035443666	0.00012994742	-0.0010697617	0.00086306967	0.0005977199	0.0009014904	-0.0004931339	-0.0006521575	0.00067531253	-0.00072985823	-0.00011353064	-0.0007361905	-0.00035243388	9.714832e-05	0.00078363187	3.9154937e-05	0.0007429333	5.053686e-06	0.00040718028	0.00084249256	-0.00024557053	-0.00012954546	-0.0013013749	0.00044214018	-0.00026775428	-0.00036603617	0.00035593394	0.00013672034	6.1738225e-05	0.00023644436	-0.0006482163	-0.00046931973	0.00034614	-0.00025324826	-0.0003852495	-0.00043794102	-0.0002736733	-0.0010043816	-0.0008324326	-0.0011708634	0.00045131135	-0.0005157822	-0.0001829927	0.0003205404	0.00076922914	1.0338263e-05	0.00036471582	-0.0002302719	0.0010171165	0.00014678732	0.0008666517	0.00057495234	-0.0010086673	-0.00029951223	-0.0010313829	0.0012233438	-0.0005888411	-0.00018221462	0.0008368159	0.0007881813	0.00023694978	0.00017801882	-0.00039079456	-0.00082052196	0.00040013832	0.0007214755	-0.00016088046	0.0006217299	0.00027121397	0.0007037641	-0.00039221704	0.00011832931	-0.0004451441	-0.0008885812	0.00073740777	-6.4071384e-05	-0.00027771128	-0.000879598	0.00090592116	0.00037482008	0.00045613595	-5.8114063e-05	0.00069145067	0.00012580819	0.0002564454	-0.00031197545	-0.00025084702	6.893748e-05	-0.0009910774	0.0009351666	-0.0009420086	-0.0004499191	3.8621172e-05	-4.5494224e-05	-0.00083010894	0.0004128417	4.9790135e-05	0.00020703969	-0.0002704993	0.00066056807	0.000265804	0.00064074266	-0.000113138994	-1.099111e-05	0.0004497204	0.00021835552	0.00035060456	-0.0003697915	0.00033541184	-0.0004730925	0.0006342696	-0.0003464484	-0.00015933103	0.00016221458	-0.00057654816	0.00024379553	-0.00048757112	-8.454459e-05	0.0011354721	-7.034446e-05	0.0006665722	1.1528886e-05	-0.00018439285	9.973553e-05	-0.00022918796	-0.0006117359	0.000470796	-0.00011617423	0.00028438977	-0.000427152	-0.0003310677	-0.0002570103	-9.4024035e-05	-0.00049946824	-0.00037939564	-0.0004773072	0.00030078183	-0.000693107	0.0003893594	0.00018215958	-0.00055545877	0.00028428205	-0.00031193157	0.0003019611	4.0465802e-05	-0.00066058734	-8.4015286e-05	-0.0005861107	6.0872757e-05	-0.00085144886	9.5303054e-05	-0.00016751439	-5.7795085e-05	-0.0003428414	0.0001986617	-0.00062860566	-0.00029123598	-0.00029973986	-4.9829346e-06	0.0007091001	-0.0008103897	-0.0012537433	-0.00034453522	-0.00053716154	0.00042101066	-0.0014556115	-0.00080177514	0.0005775285	-0.0004976864	0.00010769706	-0.00058873143	-0.00022402215	-0.00047310782	0.0010512728	0.00062775874	0.00019147091	-0.00022195037	-0.0005277271	2.5334826e-05	5.8825197e-05	-4.0747458e-05	-0.0005599777	-0.0003389157	-0.00054941635	-0.00049380056	0.00015013786	-9.264739e-05	-3.291856e-05	-0.0011485509	-0.00017104256	-0.0005987042	-0.00045626474	-5.9375423e-05	-0.00027043032	-4.75153e-06	0.0004924123	-3.7119917e-05	0.00060664624	0.0014294063	-0.00024249112	0.00048757464	-0.0004909826	-4.3612632e-05	-0.00059206615	-0.0005815657	-0.00047239836	-0.00042227228	0.0001563065	0.0007599651	-0.00052820414	-0.00049828057	0.00097218616	0.00061463827	-0.00028848465	-0.0009216732	0.00017102076	-0.0011946209	-0.0004925987	-0.00032602588	0.0008569286	0.0004714131	-0.000594655	-8.8695124e-05	-0.00033535654	-0.0006027661	0.00043317248	0.000151203	0.0002625821	-8.721227e-05	0.0011721133	0.00056820293	-0.00024178803	-0.00046045356	0.00016609016	-7.968361e-05	0.00056364073	-0.00015676247	0.0009244115	-0.00049753016	-0.0006733285	2.4361225e-05	-0.00088254287	0.00017587266	-0.0003171433	0.0009051569	-0.00018466474	-0.00015781207	0.00069834763	-0.0004730856	0.00083421194	-0.00033914947	0.00086668745	0.000814281	-0.00039490304	0.0007358941	0.0003290259	-0.00042660095	0.00038038415	-0.0009377695	0.0008056944	-0.0009428463	-0.00047935988	-0.001350311	-0.00027033853	-0.00046419795	0.0004926449	6.113396e-05	0.00014387303	0.0005982612	-0.0007929106	0.0005414593	-0.00022226782	-0.0008274829	-0.00027225833	0.00030175794	-0.0004668746	-0.00039620532	-0.0009438758	0.00011950685	-0.00040891976	0.00044865007	-0.00087236986	0.0005925102
Cox's theorem_11	5.1728683e-05	1.6981625e-05	0.00011183487	-0.00058860093	0.00047778667	0.00041384718	-0.00074367336	0.0003523082	0.00048629075	4.3755037e-05	0.0002612224	-1.9783567e-06	6.0055816e-05	-0.00055541465	-0.00037302487	0.00010907758	0.00040889715	-3.4497987e-06	0.00048360767	-0.00031255494	2.8069138e-05	0.0005537171	0.00032415034	-0.00014317135	-8.437328e-05	2.7858912e-05	-0.0005454339	0.00044068776	-0.000111317255	-0.000579604	0.00049215055	0.00015060174	0.00035315417	-0.00047739194	-0.00022590766	-7.801508e-05	-3.094696e-05	0.00018930258	-0.00013692182	0.00019189507	2.4705405e-05	-0.00026037227	0.00045502096	-0.0002345046	-0.00012286809	9.484172e-05	-0.0003971229	9.3135466e-05	3.685747e-05	0.00024403524	0.00020214682	0.00017747664	-0.00030407135	0.0001122834	7.346173e-05	-0.00041745242	-0.00060713856	0.000121681674	-0.00044079914	-0.0001733253	0.0005126549	-0.00020027939	-0.00010506576	0.00018378919	-0.00025862345	0.00040699902	0.00042095574	0.0002321523	0.00076718355	-4.185442e-05	0.00013116148	-0.00066860154	0.00029187577	-9.563922e-05	-0.00020800222	0.00042955566	0.0005575491	0.00011581416	6.0672162e-05	-0.00066057703	2.6289925e-05	0.00013020044	1.0430199e-05	5.8392532e-05	0.0005680709	-6.292691e-05	0.0006299022	-0.00049147476	-0.00040148452	-0.00040985143	-0.00078391866	-0.00016094734	0.00029671463	-4.129153e-05	-0.0007636987	2.7205604e-05	0.00027620493	0.00015661452	0.0003130805	9.176964e-05	0.00032810538	0.0005502494	-0.00012941207	-0.0005649495	-3.74463e-05	-0.00030758398	0.00043782534	-6.82295e-05	0.0005185491	0.00023195577	0.00017360412	0.00032387895	-5.0577728e-05	2.8842975e-05	0.0001343759	-0.00015000334	0.00075014005	7.820164e-05	0.00029724525	-0.00033649334	-0.00038040255	0.00019148007	3.5321493e-05	0.00019122232	5.327217e-05	0.0006265579	-0.000439473	0.00078382756	0.0003152178	-4.916167e-05	-0.00018243365	0.00017062738	0.00014513348	-7.937556e-05	0.00012293724	0.0007805508	0.000293155	0.0007337678	-3.7063917e-05	0.0002076988	-9.711585e-05	-0.00057767273	-0.0007490242	4.8452675e-05	-0.00015609148	7.426538e-05	-3.0492623e-05	9.329646e-06	-6.2798266e-05	-0.00031472323	-0.00034462576	0.00052005245	-0.00035418954	-0.00032242152	-0.00058280485	0.00022313456	-0.00021156232	-0.00048412618	0.00027518443	-0.000527849	0.00019894143	-0.00015758706	-0.00020534852	-0.00023293999	-0.00065939856	-1.5188459e-05	-0.00032247163	-2.089727e-05	-0.00017280194	-0.00033777603	0.00022482024	-0.00043754058	0.00016504005	-0.00049964373	-0.00042536532	-0.000638066	0.0005590874	-0.00047668794	-0.0005873822	-0.0006428091	-0.000536906	-6.427376e-05	-0.00078323757	0.00016977434	0.00036855842	0.00010307326	0.00025665044	9.2656825e-05	-0.0002078794	-6.5162414e-05	0.0007821551	0.0003703531	0.000404183	-0.00043428986	0.00040163015	0.00019687969	0.0005911752	-9.4319366e-05	-0.00023785663	0.00032564808	-0.00028153576	-0.00037734015	-6.1804334e-05	0.00033557496	-0.00020137936	-0.00012770397	0.00044447652	-0.00033995215	-0.000412482	-6.8034766e-05	-8.4656795e-06	0.00048509956	0.0006745992	-1.670961e-05	0.0008613268	-0.00018080091	0.00010535357	-0.0002700438	0.00033937374	-0.00056155137	-0.00022163788	0.00026068336	8.071523e-05	0.00016463651	0.00039098467	0.0004834702	0.00032324204	-0.0005444814	0.00017027545	0.00031053365	0.00021334716	2.9701232e-05	0.00014123997	-0.00032769277	0.00017290532	-0.00017333681	0.00022135455	0.00011642207	-2.8307608e-05	0.00017396813	-0.0002888324	0.00017637784	0.000332707	5.2296906e-05	0.00016027733	9.2005495e-05	0.0009822936	0.00050547865	0.00014589359	0.00014039986	0.00034779691	0.000115919676	-5.625899e-05	-3.0102123e-05	-0.000518759	-8.83298e-05	-9.4593626e-05	-0.00024966185	-0.00075577345	0.00012504308	-0.00013834586	0.0006875184	-0.0006002195	-3.4686538e-05	0.00036146175	-0.00012500054	0.00015819164	3.5052646e-05	0.00031663693	7.296075e-05	0.00023953021	0.00023698817	-0.0004399372	-4.8604255e-05	0.00018255059	-0.00055488956	-0.00041388767	-0.00084799767	3.267797e-05	-0.0006090893	-2.8444116e-05	0.00016238693	0.00056846044	5.8248927e-05	8.1542385e-05	0.0002986391	-0.00015003617	-4.6860056e-05	-0.00038514435	-5.271018e-05	0.00031431575	0.00019751805	0.0001219735	-0.00067472545	-0.00072111824	0.00014784705	1.3061926e-05	4.444782e-05	0.00010062708	0.0005013616
Cox's theorem_12	0.0015990955	0.0003691951	0.0012472164	0.0016390431	-0.00019423399	0.0003075138	1.2289768e-05	0.0008122888	-0.00096783205	0.00034348277	-1.7662069e-05	-0.0006269276	-0.00161831	-0.0010051342	-0.0009326684	0.00018406741	0.00029287222	0.0014884094	0.0007112859	-0.0006168158	-0.000508611	-6.450184e-05	0.00029291486	0.0015107166	0.0003320818	0.0015815576	-0.0004811907	-2.2085498e-05	0.0013331986	-0.0009682495	0.0014179649	-0.00010841726	-0.000821785	-0.0012992274	-0.00037982542	0.0006333126	-0.00023886985	0.0012235111	-7.195423e-05	-0.00043990355	-0.0010603413	0.0006996991	0.0007558549	-3.3303153e-05	-0.0010205442	-0.0011025177	-0.0013551352	0.0009136153	-0.0012862573	-0.0015826685	-0.00085304835	-0.0003842925	-0.00074024935	-0.0008373217	0.0016212856	0.0012526282	-0.00051370217	0.000665119	0.0012637477	0.0016165941	0.00066935696	-0.0010357677	-0.0010312987	-0.0010371349	-0.0014052129	0.0006507486	0.00089169294	0.0009813389	0.0015364438	0.0010450609	-0.00028674974	-0.001580391	-0.0010967465	0.0015062749	-0.0007699132	0.00088086544	0.00043793654	-0.0012016506	0.00056689425	-0.0010995392	-0.0010436429	0.00093452964	-0.0011011828	0.0012734303	0.0007316205	0.0012410982	0.0015756882	0.0009883764	-0.00077108154	0.0008124811	-0.0013442836	0.001000674	-0.0001174918	0.0013847781	-0.00037804584	0.0014663498	-0.001517678	-0.0009440176	0.00075629	0.0014569323	0.0015757409	0.00034223768	0.0014491003	-0.0012421703	-0.00055323145	-0.0011802102	-0.0008465227	-0.0014011746	2.5377192e-05	-0.0013302214	0.00011401023	0.0009506193	0.0010389513	0.00012387223	-0.00014238889	-0.0009133066	0.0010324582	-0.00091533666	0.0012149046	0.00033941347	-0.001096199	0.0016404225	-0.0006755792	0.0013390402	-0.0008511526	0.0009803708	-0.00019367723	0.0012131134	0.0012954001	0.00029657656	-0.00056040456	0.0010056027	0.0016081603	-0.0014011274	0.00018692054	0.0007951698	0.00018230014	0.0009808056	-0.0004851018	0.0007112901	0.0014038767	0.0010239981	-0.0015817055	0.0012776006	-0.0014359184	-0.0014430345	-0.00094191777	2.1988422e-05	0.0010623113	-0.00061428396	-0.0002510187	0.0006454953	0.0010058144	-0.00026932	-0.00016210273	0.0006608001	0.00051947683	0.00041102164	0.0013446766	0.00032507346	-0.0008016531	-0.0011515736	0.001374017	0.00065497326	-0.00140007	0.0011953928	-7.50166e-05	0.0004495926	0.0008022598	-0.0011717381	0.0012391452	0.00022179307	0.0011311714	-9.0119014e-05	-0.0014829593	-0.00030947902	0.0014788193	0.0008217959	-0.0008463218	0.0009735605	-0.0014500106	-0.0011666507	-0.0013000708	-0.001633025	0.0004239881	0.00067362026	-0.0013452512	0.00090867997	-0.0010197677	0.00069993234	0.0011566208	0.0008897676	0.0015851132	0.0009141479	0.0013864816	-0.0012116889	0.0015950406	-0.0012240848	-0.001126653	-0.0002441344	0.0015836232	0.0015306313	0.0005755791	0.0003561687	0.0008155762	0.0015143567	0.0012752401	0.0013115236	-0.0013133324	0.0009656657	0.00092707714	-0.0012662304	0.0012616691	-0.00014244317	0.0014394047	-0.0002463129	-0.0008091139	0.0010312914	0.0016008535	-0.0004787722	-0.0005170645	0.00037112265	-0.0003560092	0.001358947	0.0012683943	0.00080085103	-0.00016907956	-0.001219921	-0.00012966785	0.001292528	-6.4852793e-06	-0.0014440727	-0.00070265896	0.00021441025	0.0006652936	0.0013010514	0.0009979584	0.00023361114	0.0013756453	0.00014165482	0.0014443285	0.0014484902	-0.0009465177	0.0013943088	0.0014776996	-0.00095048296	0.00085773336	0.000223511	-0.00067203084	5.29978e-05	-0.0007765835	-0.00048117663	0.0016054498	-0.0011749401	-0.0012859876	-0.001545873	0.0007162606	0.00020224178	0.00065153895	0.0011713024	-0.0010397568	0.001157021	-0.0012240156	0.0015874939	-0.0011018626	0.0015953599	-0.0015847213	-0.0014319036	-0.00046554563	-0.0012892833	0.0013631181	0.00041144842	-0.0006918692	-0.0005252114	-0.0008141246	0.001602117	0.000353335	-0.0010936032	-0.0012002623	0.00036800164	-0.001368329	0.00036686167	0.0004069876	0.00023092773	0.00042918164	-8.2797684e-05	0.0013928745	0.00031506986	-0.0005939601	-0.00053599634	0.0011515963	-0.00047729554	-0.0009626992	-0.00043913015	-0.0015950686	0.0002698211	0.0004945112	0.00026036322	0.00017369038	-0.00012923028
Cox's theorem_13	0.0015990955	0.0003691951	0.0012472164	0.0016390431	-0.00019423399	0.0003075138	1.2289768e-05	0.0008122888	-0.00096783205	0.00034348277	-1.7662069e-05	-0.0006269276	-0.00161831	-0.0010051342	-0.0009326684	0.00018406741	0.00029287222	0.0014884094	0.0007112859	-0.0006168158	-0.000508611	-6.450184e-05	0.00029291486	0.0015107166	0.0003320818	0.0015815576	-0.0004811907	-2.2085498e-05	0.0013331986	-0.0009682495	0.0014179649	-0.00010841726	-0.000821785	-0.0012992274	-0.00037982542	0.0006333126	-0.00023886985	0.0012235111	-7.195423e-05	-0.00043990355	-0.0010603413	0.0006996991	0.0007558549	-3.3303153e-05	-0.0010205442	-0.0011025177	-0.0013551352	0.0009136153	-0.0012862573	-0.0015826685	-0.00085304835	-0.0003842925	-0.00074024935	-0.0008373217	0.0016212856	0.0012526282	-0.00051370217	0.000665119	0.0012637477	0.0016165941	0.00066935696	-0.0010357677	-0.0010312987	-0.0010371349	-0.0014052129	0.0006507486	0.00089169294	0.0009813389	0.0015364438	0.0010450609	-0.00028674974	-0.001580391	-0.0010967465	0.0015062749	-0.0007699132	0.00088086544	0.00043793654	-0.0012016506	0.00056689425	-0.0010995392	-0.0010436429	0.00093452964	-0.0011011828	0.0012734303	0.0007316205	0.0012410982	0.0015756882	0.0009883764	-0.00077108154	0.0008124811	-0.0013442836	0.001000674	-0.0001174918	0.0013847781	-0.00037804584	0.0014663498	-0.001517678	-0.0009440176	0.00075629	0.0014569323	0.0015757409	0.00034223768	0.0014491003	-0.0012421703	-0.00055323145	-0.0011802102	-0.0008465227	-0.0014011746	2.5377192e-05	-0.0013302214	0.00011401023	0.0009506193	0.0010389513	0.00012387223	-0.00014238889	-0.0009133066	0.0010324582	-0.00091533666	0.0012149046	0.00033941347	-0.001096199	0.0016404225	-0.0006755792	0.0013390402	-0.0008511526	0.0009803708	-0.00019367723	0.0012131134	0.0012954001	0.00029657656	-0.00056040456	0.0010056027	0.0016081603	-0.0014011274	0.00018692054	0.0007951698	0.00018230014	0.0009808056	-0.0004851018	0.0007112901	0.0014038767	0.0010239981	-0.0015817055	0.0012776006	-0.0014359184	-0.0014430345	-0.00094191777	2.1988422e-05	0.0010623113	-0.00061428396	-0.0002510187	0.0006454953	0.0010058144	-0.00026932	-0.00016210273	0.0006608001	0.00051947683	0.00041102164	0.0013446766	0.00032507346	-0.0008016531	-0.0011515736	0.001374017	0.00065497326	-0.00140007	0.0011953928	-7.50166e-05	0.0004495926	0.0008022598	-0.0011717381	0.0012391452	0.00022179307	0.0011311714	-9.0119014e-05	-0.0014829593	-0.00030947902	0.0014788193	0.0008217959	-0.0008463218	0.0009735605	-0.0014500106	-0.0011666507	-0.0013000708	-0.001633025	0.0004239881	0.00067362026	-0.0013452512	0.00090867997	-0.0010197677	0.00069993234	0.0011566208	0.0008897676	0.0015851132	0.0009141479	0.0013864816	-0.0012116889	0.0015950406	-0.0012240848	-0.001126653	-0.0002441344	0.0015836232	0.0015306313	0.0005755791	0.0003561687	0.0008155762	0.0015143567	0.0012752401	0.0013115236	-0.0013133324	0.0009656657	0.00092707714	-0.0012662304	0.0012616691	-0.00014244317	0.0014394047	-0.0002463129	-0.0008091139	0.0010312914	0.0016008535	-0.0004787722	-0.0005170645	0.00037112265	-0.0003560092	0.001358947	0.0012683943	0.00080085103	-0.00016907956	-0.001219921	-0.00012966785	0.001292528	-6.4852793e-06	-0.0014440727	-0.00070265896	0.00021441025	0.0006652936	0.0013010514	0.0009979584	0.00023361114	0.0013756453	0.00014165482	0.0014443285	0.0014484902	-0.0009465177	0.0013943088	0.0014776996	-0.00095048296	0.00085773336	0.000223511	-0.00067203084	5.29978e-05	-0.0007765835	-0.00048117663	0.0016054498	-0.0011749401	-0.0012859876	-0.001545873	0.0007162606	0.00020224178	0.00065153895	0.0011713024	-0.0010397568	0.001157021	-0.0012240156	0.0015874939	-0.0011018626	0.0015953599	-0.0015847213	-0.0014319036	-0.00046554563	-0.0012892833	0.0013631181	0.00041144842	-0.0006918692	-0.0005252114	-0.0008141246	0.001602117	0.000353335	-0.0010936032	-0.0012002623	0.00036800164	-0.001368329	0.00036686167	0.0004069876	0.00023092773	0.00042918164	-8.2797684e-05	0.0013928745	0.00031506986	-0.0005939601	-0.00053599634	0.0011515963	-0.00047729554	-0.0009626992	-0.00043913015	-0.0015950686	0.0002698211	0.0004945112	0.00026036322	0.00017369038	-0.00012923028
